NroRecibo;NumeroCuenta;Codigo;Programa;Periodo;Ano;Apellidos_y_Nombres;Sede;Concepto1;ValorBasico_o_PLM;GastosAdmon;Bienestar;Otros;ConceptoDescuento;ValorDescuento;Procultura;Total;CodigoSede;FechaSinRecargo;ValorSinRecargo;FechaConRecargo;ValorConRecargo;NumeroReferencia
426361;656-03103-6;1457284;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;221120;55280;0;6160;  ;;0;282560;07;1/8/14;282560;8/8/14;310200;
426362;656-03103-6;1457285;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426363;656-03103-6;1457286;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426364;656-03103-6;1457288;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;Ex 049 Estim. Sufragio;18504;0;218956;07;1/8/14;218956;8/8/14;242086;
426365;656-03103-6;1457291;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;193120;48280;0;6160;  ;;0;247560;07;1/8/14;247560;8/8/14;271700;
426366;656-03103-6;1457293;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;592560;148140;0;6160;  ;;0;746860;07;1/8/14;746860;8/8/14;820930;
426367;656-03103-6;1457294;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;170000;42500;0;6160;  ;;0;218660;07;1/8/14;218660;8/8/14;239910;
426368;656-03103-6;1457295;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426369;656-03103-6;1457298;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;174160;43540;0;6160;  ;;0;223860;07;1/8/14;223860;8/8/14;245630;
426370;656-03103-6;1457299;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;246400;61600;0;6160;Ex 049 Estim. Sufragio;24640;0;289520;07;1/8/14;289520;8/8/14;320320;
426371;656-03103-6;1457301;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;175760;43940;0;6160;  ;;0;225860;07;1/8/14;225860;8/8/14;247830;
426372;656-03103-6;1457304;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;200480;50120;0;6160;  ;;0;256760;07;1/8/14;256760;8/8/14;281820;
426373;656-03103-6;1457307;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;246400;61600;0;6160;Ex 049 Estim. Sufragio;24640;0;289520;07;1/8/14;289520;8/8/14;320320;
426374;656-03103-6;1457308;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;193120;48280;0;6160;  ;;0;247560;07;1/8/14;247560;8/8/14;271700;
426375;656-03103-6;1457309;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;171840;42960;0;6160;Ex 049 Estim. Sufragio;17184;0;203776;07;1/8/14;203776;8/8/14;225256;
426376;656-03103-6;1457310;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426377;656-03103-6;1457312;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426378;656-03103-6;1457313;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;215600;53900;0;6160;  ;;0;275660;07;1/8/14;275660;8/8/14;302610;
426379;656-03103-6;1457314;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;246400;61600;0;6160;  ;;0;314160;07;1/8/14;314160;8/8/14;344960;
426380;656-03103-6;1457315;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;165760;41440;0;6160;  ;;0;213360;07;1/8/14;213360;8/8/14;234080;
426381;656-03103-6;1457316;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;246400;61600;0;6160;  ;;0;314160;07;1/8/14;314160;8/8/14;344960;
426382;656-03103-6;1457321;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;171840;42960;0;6160;  ;;0;220960;07;1/8/14;220960;8/8/14;242440;
426383;656-03103-6;1457324;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;192480;48120;0;6160;  ;;0;246760;07;1/8/14;246760;8/8/14;270820;
426384;656-03103-6;1457325;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;175760;43940;0;6160;  ;;0;225860;07;1/8/14;225860;8/8/14;247830;
426385;656-03103-6;1457328;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426386;656-03103-6;1457330;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426387;656-03103-6;1457331;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;188160;47040;0;6160;  ;;0;241360;07;1/8/14;241360;8/8/14;264880;
426388;656-03103-6;1457332;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;203680;50920;0;6160;Ex 049 Estim. Sufragio;20368;0;240392;07;1/8/14;240392;8/8/14;265852;
426389;656-03103-6;1457333;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;213920;53480;0;6160;Ex 049 Estim. Sufragio;21392;0;252168;07;1/8/14;252168;8/8/14;278908;
426390;656-03103-6;1457335;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;211840;52960;0;6160;  ;;0;270960;07;1/8/14;270960;8/8/14;297440;
426391;656-03103-6;1457338;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;211520;52880;0;6160;  ;;0;270560;07;1/8/14;270560;8/8/14;297000;
426392;656-03103-6;1457339;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426393;656-03103-6;1457342;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;162240;40560;0;6160;  ;;0;208960;07;1/8/14;208960;8/8/14;229240;
426394;656-03103-6;1457343;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;211520;52880;0;6160;  ;;0;270560;07;1/8/14;270560;8/8/14;297000;
426395;656-03103-6;1457344;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426396;656-03103-6;1457346;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;223920;55980;0;6160;  ;;0;286060;07;1/8/14;286060;8/8/14;314050;
426397;656-03103-6;1457347;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;158640;39660;0;6160;  ;;0;204460;07;1/8/14;204460;8/8/14;224290;
426398;656-03103-6;1457348;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426399;656-03103-6;1457351;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426400;656-03103-6;1457352;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;217280;54320;0;6160;  ;;0;277760;07;1/8/14;277760;8/8/14;304920;
426401;656-03103-6;1457354;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;192480;48120;0;6160;  ;;0;246760;07;1/8/14;246760;8/8/14;270820;
426402;656-03103-6;1457355;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426403;656-03103-6;1457356;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426404;656-03103-6;1457360;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426405;656-03103-6;1457363;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;163440;40860;0;6160;Ex 049 Estim. Sufragio;16344;0;194116;07;1/8/14;194116;8/8/14;214546;
426406;656-03103-6;1457365;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426407;656-03103-6;1457366;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426408;656-03103-6;1457368;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426409;656-03103-6;1457370;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426410;656-03103-6;1457371;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;193120;48280;0;6160;  ;;0;247560;07;1/8/14;247560;8/8/14;271700;
426411;656-03103-6;1457373;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;163120;40780;0;6160;  ;;0;210060;07;1/8/14;210060;8/8/14;230450;
426412;656-03103-6;1457376;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;190960;47740;0;6160;  ;;0;244860;07;1/8/14;244860;8/8/14;268730;
426413;656-03103-6;1457377;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;192480;48120;0;6160;  ;;0;246760;07;1/8/14;246760;8/8/14;270820;
426414;656-03103-6;1457378;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;174160;43540;0;6160;Ex 049 Estim. Sufragio;17416;0;206444;07;1/8/14;206444;8/8/14;228214;
426415;656-03103-6;1457379;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;164080;41020;0;6160;  ;;0;211260;07;1/8/14;211260;8/8/14;231770;
426416;656-03103-6;1457381;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;193440;48360;0;6160;Ex 049 Estim. Sufragio;19344;0;228616;07;1/8/14;228616;8/8/14;252796;
426417;656-03103-6;1457382;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;144800;36200;0;6160;  ;;0;187160;07;1/8/14;187160;8/8/14;205260;
426418;656-03103-6;1457383;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;242080;60520;0;6160;  ;;0;308760;07;1/8/14;308760;8/8/14;339020;
426419;656-03103-6;1457384;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;203680;50920;0;6160;  ;;0;260760;07;1/8/14;260760;8/8/14;286220;
426420;656-03103-6;1457386;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;193120;48280;0;6160;  ;;0;247560;07;1/8/14;247560;8/8/14;271700;
426421;656-03103-6;1457389;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426422;656-03103-6;1457390;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;218000;54500;0;6160;  ;;0;278660;07;1/8/14;278660;8/8/14;305910;
426423;656-03103-6;1457394;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;217120;54280;0;6160;Ex 049 Estim. Sufragio;21712;0;255848;07;1/8/14;255848;8/8/14;282988;
426424;656-03103-6;1457396;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426425;656-03103-6;1457398;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;164080;41020;0;6160;  ;;0;211260;07;1/8/14;211260;8/8/14;231770;
426426;656-03103-6;1457400;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;193120;48280;0;6160;  ;;0;247560;07;1/8/14;247560;8/8/14;271700;
426427;656-03103-6;1457401;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;174560;43640;0;6160;Ex 049 Estim. Sufragio;17456;0;206904;07;1/8/14;206904;8/8/14;228724;
426428;656-03103-6;1457404;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;Ex 049 Estim. Sufragio;18504;0;218956;07;1/8/14;218956;8/8/14;242086;
426429;656-03103-6;1457406;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426430;656-03103-6;1457408;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426431;656-03103-6;1457409;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426432;656-03103-6;1457410;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;229680;57420;0;6160;Ex 049 Estim. Sufragio;22968;0;270292;07;1/8/14;270292;8/8/14;299002;
